NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Locations
NCT07160400,A Study of IBI3032 in Chinese Healthy Participants and Participants With Overweight or Obesity,https://clinicaltrials.gov/study/NCT07160400,NOT_YET_RECRUITING,Part A: Healthy Part B: Overweight or Obesity,DRUG: Placebo|DRUG: IBI3032 tablets,Innovent Biologics Technology Limited (Shanghai R&D Center),,INTERVENTIONAL,"Zhongshan Hospital affiliated to Fudan University, Shanghai, Shanghai Municipality, 200030, China"
NCT07160387,Role of Gastroinestinal Endoscopy in Pediatric Failure to Thrive,https://clinicaltrials.gov/study/NCT07160387,NOT_YET_RECRUITING,Failure to Thrive|Endoscope,,Assiut University,,OBSERVATIONAL,
NCT07160374,ThinkRadial: A Prospective Study of Transradial deTACE in HCC Patients,https://clinicaltrials.gov/study/NCT07160374,COMPLETED,Hepatocellular Carcinoma,PROCEDURE: Transradial drug-eluting beadsTransarterial Chemoembolization (DEB-TACE),Asan Medical Center,,OBSERVATIONAL,"Asan Medical Center, Seoul, Songpa-gu, 05505, South Korea"
NCT07160361,Exploration of Postoperative Adjuvant Therapy for HCC Patients With Positive TB,https://clinicaltrials.gov/study/NCT07160361,NOT_YET_RECRUITING,"Carcinoma, Hepatocellular",DRUG: Lenvatinib + losartan,Second Affiliated Hospital of Xi'an Jiaotong University,First Affiliated Hospital Xi'an Jiaotong University|Shaanxi Provincial People's Hospital|Affiliated Hospital of Qinghai University,INTERVENTIONAL,
NCT07160348,Translation and Validation of the Hypoparathyroidism Patient Experience Scales (HPES) Questionnaire in Greek,https://clinicaltrials.gov/study/NCT07160348,NOT_YET_RECRUITING,Hypoparathyroidism,OTHER: Questionnaire and Physical Exam,Aristotle University Of Thessaloniki,"National and Kapodistrian University of Athens|424 General Military Hospital|General Hospital Of Thessaloniki Ippokratio|Laikο General Hospital, Athens|251 Hellenic Air Force & VA General Hospital|Hellenic Red Cross Hospital",OBSERVATIONAL,
NCT07160335,"A Phase I Clinical Study to Evaluate the PK Profile, Efficacy, Safety and Immunogenicity of HLX17 vs. Keytruda® in Multiple Resected Solid Tumors",https://clinicaltrials.gov/study/NCT07160335,NOT_YET_RECRUITING,Non-small Cell Lung Cancer|Melanoma|Renal Cell Carcinoma,DRUG: HLX17|DRUG: US-sourced Keytruda®,Shanghai Henlius Biotech,,INTERVENTIONAL,
NCT07160322,Refractory Breathlessness in COPD,https://clinicaltrials.gov/study/NCT07160322,RECRUITING,COPD,,Seoul National University,,OBSERVATIONAL,"Seoul National University College of Medicine, Seoul Metropolitan Government-Seoul National University Boramae Medical Center, Seoul, Seoul, 07061, South Korea"
NCT07160309,Osseodensification and Ridge Expansion for Implant Placement,https://clinicaltrials.gov/study/NCT07160309,COMPLETED,Alveolar Bone Loss,DEVICE: Densah Bur|DEVICE: Magnetic Mallet,Al-Azhar University,,INTERVENTIONAL,"Faculty of Dentistry, Department of Oral and Maxillofacial Surgery, Al-Azhar University, Cairo, Egypt"
NCT07160296,Supporting Treatment Resilience With Optimized Nutrition and Guided Exercise in Head and Neck Cancer Patients Undergoing Chemoradiation,https://clinicaltrials.gov/study/NCT07160296,RECRUITING,Head and Neck Cancer,BEHAVIORAL: 20-Week Lifestyle Program,Renown Health,,INTERVENTIONAL,"Renown Regional Medical Center, Reno, Nevada, 89502, United States|Conrad Breast Center at South Meadows, Reno, Nevada, 89521, United States"
NCT07160283,The Efficacy and Safety of Trilaciclib in Bone Marrow Protection Before Chemotherapy for Advanced Bile Duct Cancer and Pancreatic Cancer,https://clinicaltrials.gov/study/NCT07160283,NOT_YET_RECRUITING,Biliary Tract Neoplasms|Pancreatic Neoplasms,DRUG: Bile duct cancer cohort|DRUG: Pancreatic cancer cohort,The Second Affiliated Hospital of Shandong First Medical University,,INTERVENTIONAL,
NCT07160270,"This Study Aims to Clarify the Prevalence and Characteristics of Neuropathy, Along With Associated Paraclinical Findings in Patients With Waldenström's Macroglobulinemia (WM) in a Cohort of WM Patients to Optimize the Diagnostic Process",https://clinicaltrials.gov/study/NCT07160270,RECRUITING,Waldenstrom Macroglobulinaemia|Peripheral Neuropathies,,"Rigshospitalet, Denmark",,OBSERVATIONAL,"Copenhagen Neuromuscular Center, Rigshospitalet Blegdamsvej., København Ø, 2100, Denmark"
NCT07160257,A Study to Evaluate the Effect of Maridebart Cafraglutide on Insulin Sensitivity and β-cell Function in Participants With Type 2 Diabetes Mellitus,https://clinicaltrials.gov/study/NCT07160257,RECRUITING,Type 2 Diabetes Mellitus,DRUG: Maridebart cafraglutide|DRUG: Placebo,Amgen,,INTERVENTIONAL,"ProSciento, Chula Vista, California, 91911, United States"
NCT07160244,BEATRIX: A Study to Learn About a Group B Streptococcus Vaccine in Healthy Pregnant Women and Their Babies,https://clinicaltrials.gov/study/NCT07160244,RECRUITING,Healthy,BIOLOGICAL: Multivalent Group B streptococcus vaccine|BIOLOGICAL: Placebo|BIOLOGICAL: Infanrix hexa|BIOLOGICAL: Prevenar 20|BIOLOGICAL: Pediarix|BIOLOGICAL: Prevnar 20|BIOLOGICAL: Infanrix,Pfizer,,INTERVENTIONAL,"Clinical Research Prime, Idaho Falls, Idaho, 83404, United States|Eastern Idaho Regional Medical Center, Idaho Falls, Idaho, 83404, United States|Mountain View Hospital, Idaho Falls, Idaho, 83404, United States|Madison Memorial Hospital, Rexburg, Idaho, 83440, United States|Heart and Hands Midwifery and Family Practice, Kalispell, Montana, 59901, United States|POEM Healthcare, Kalispell, Montana, 59901, United States|Boeson Research MSO, Missoula, Montana, 59804, United States|Origin Health, Missoula, Montana, 59804, United States|Velocity Clinical Research, Grand Island, Grand Island, Nebraska, 68803, United States|Velocity Clinical Research, Norfolk, Norfolk, Nebraska, 68701, United States"
NCT07160231,REDO-JAK: Dose Reduction of Janus Kinase Inhibitors in Patients With Inflammatory Rheumatic Diseases,https://clinicaltrials.gov/study/NCT07160231,NOT_YET_RECRUITING,Rheumatoid Arthritis (RA)|Psoriatic Arthritis (PsA)|Axial Spondyloarthritis (AxSpA),DRUG: JAKi dose reduction strategy|DRUG: JAKi disease activity guided continuation of same dose strategy,Sint Maartenskliniek,ZonMw: The Netherlands Organisation for Health Research and Development,INTERVENTIONAL,"Sint Maartenskliniek Nijmegen, Nijmegen, Gelderland, 6574 NA, Netherlands|Maastricht UMC+, Maastricht, Limburg, 6229 HX, Netherlands|Elisabeth-TweeSteden Ziekenhuis Tilburg, Tilburg, North Brabant, 5022 GC, Netherlands|Medisch Spectrum Twente, Enschede, Overijssel, 7512 KZ, Netherlands|Isala Zwolle, Zwolle, Overijssel, 8025 AB, Netherlands|Erasmus MC, Rotterdam, South Holland, 3015 GD, Netherlands|Maasstad ziekenhuis, Rotterdam, South Holland, 3079 DZ, Netherlands"
NCT07160218,Effects of tDCS and Cognitive Rehabilitation on Cognition and Neural Plasticity in MS Patients,https://clinicaltrials.gov/study/NCT07160218,COMPLETED,Multiple Sclerosis,DEVICE: tDCS|DEVICE: Cognitive Rehabilitation|DEVICE: Sham tDCS,Shahid Beheshti University of Medical Sciences,,INTERVENTIONAL,"Shahid Beheshti University of Medical Science, Tehran, Iran"
NCT07160205,"Safety and Efficacy of ULSC on Disease Severity and Steroid Tapering in Participants With Dermatomyositis/ Polymyositis (DM/PM), Also Known as Idiopathic Inflammatory Myopathy (IIM)",https://clinicaltrials.gov/study/NCT07160205,NOT_YET_RECRUITING,Idiopathic Inflammatory Myositis (IIM)|DERMATOMYOSITIS OR POLYMYOSITIS,BIOLOGICAL: ULSC (1.5 x 10^8 cells/dose)|BIOLOGICAL: Placebo (no cells),"Restem, LLC.",,INTERVENTIONAL,"Malcom Randall North Florida/South Georgia VA Medical Center, Gainesville, Florida, 32608, United States"
NCT07160192,Long-term Evaluation of Percutaneous Endoscopic Caecostomy in Refractory Constipation,https://clinicaltrials.gov/study/NCT07160192,NOT_YET_RECRUITING,Constipation|Refractory,,Nantes University Hospital,,OBSERVATIONAL,"Nantes University Hospital, Nantes, Loire-Atlantique, 44093, France"
NCT07160179,Study to Assess the Adverse Events and How Intravitreal ABBV-6628 Moves Through the Body of Adult Participants With Geographic Atrophy Secondary to Age-Related Macular Degeneration,https://clinicaltrials.gov/study/NCT07160179,RECRUITING,Geographic Atrophy|Age-Related Macular Degeneration,DRUG: ABBV-6628|DRUG: SYFOVRE,AbbVie,,INTERVENTIONAL,"Retina Partners Midwest, P.C. /ID# 262172, Carmel, Indiana, 46032, United States|Retina Foundation of the Southwest /ID# 262479, Dallas, Texas, 75231, United States"
NCT07160166,Determination of the Oral Irritation Potential of Two Alcohol-Free Rinses,https://clinicaltrials.gov/study/NCT07160166,COMPLETED,Oral Health,OTHER: Prototype 1|OTHER: Prototype 2|OTHER: Marketed Comparator,Kenvue Brands LLC,,INTERVENTIONAL,"Salus Research, Inc., Fort Wayne, Indiana, 46825, United States"
NCT07160153,Cannabis Abstinence and Neurocognitive Assessment in Adolescence,https://clinicaltrials.gov/study/NCT07160153,RECRUITING,Cannabis Dependence|Harmful Use|Cognitive Assessment,DIAGNOSTIC_TEST: Neurocognitive assessment|DIAGNOSTIC_TEST: Urine toxicological assessment,University Hospital Pilsen,,OBSERVATIONAL,"University Hospital Pilsen, Pilsen, Czechia, 30100, Czechia"
NCT07160140,Investigation of the Effect of Pedal Technique Training Protocol on Functional Threshold Power Test and Lower Extremity Isokinetic Power,https://clinicaltrials.gov/study/NCT07160140,COMPLETED,Isokinetic Test|Cyclists|Performance Enhancement,OTHER: Participants will receive an 8-week pedal technique training protocol in addition to their regular cycling training.,Istanbul Topkapi University,,INTERVENTIONAL,"Istanbul Topkapi University, Istanbul, 34000, Turkey (Türkiye)"
NCT07160127,A Clinical Study of Chinese Herbal Formula TJAOA103 in Treating Genitourinary Syndrome of Menopause,https://clinicaltrials.gov/study/NCT07160127,NOT_YET_RECRUITING,Genitourinary Syndrome of Menopause (GSM),DRUG: TJAOA103,Tongji Hospital,,INTERVENTIONAL,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China"
NCT07160114,Task-oriented Training With Electrical Stimulation Glove on Hand Function and Dexterity in Chronic Stroke Patients,https://clinicaltrials.gov/study/NCT07160114,COMPLETED,Stroke|Chronic Stroke Patient,DEVICE: Electrical Stimulation Glove with Task-Oriented Training|BEHAVIORAL: Task-Oriented Training Only,University of Lahore,,INTERVENTIONAL,"The University of Lahore Teaching Hospital, Lahore, 54590, Pakistan"
NCT07160101,Comparison of Effects of Eggshell Derived Nano Hydroxyapatite and Hydroxyapatite in Management of Periodontal Intrabony Defects,https://clinicaltrials.gov/study/NCT07160101,COMPLETED,Osseous Regeneration,OTHER: Eggshell derived nano hydroxyapatite|OTHER: Hydroxyapatite,Dr R Viswa Chandra,,INTERVENTIONAL,"Svs Institute of Dental Sciences, Mahbūbnagar, Telangana, 509001, India"
NCT07160088,DIND in Patients With aSAH : Real World Study,https://clinicaltrials.gov/study/NCT07160088,NOT_YET_RECRUITING,Aneurysmal Subarachnoid Hemorrhage (aSAH),OTHER: Observational,"Xuanwu Hospital, Beijing",,OBSERVATIONAL,
NCT07160075,HIV Prevention With PrEP Among People on Opioid Replacement Therapy,https://clinicaltrials.gov/study/NCT07160075,NOT_YET_RECRUITING,HIV - Human Immunodeficiency Virus,BEHAVIORAL: Simultaneous administration of OAT and oral PrEP at existing pharmacy-based programs,Cara Spence,Gilead Sciences,INTERVENTIONAL,"Sheldon M Chumir Health Centre, Calgary, Alberta, T2R 0X7, Canada|Mayfair Drugs Pharmacy, Saskatoon, Saskatchewan, S7L 0V8, Canada|Pharmasave Riversdale Pharmacy, Saskatoon, Saskatchewan, S7M 0Y2, Canada|The Medicine Shoppe Pharmacy, Saskatoon, Saskatchewan, S7M 0Z7, Canada|Meadowgreen Pharmacy, Saskatoon, Saskatchewan, S7M 4R5, Canada"
NCT07160062,"The Effect of Mandala Painting on Perioperative Psychological Well-Being, Emotional Self-Efficacy and Anxiety in Gynecologic Cancer",https://clinicaltrials.gov/study/NCT07160062,COMPLETED,Mandala Painting|Gynecological Cancers|Psychological Well-being|Anxiety,BEHAVIORAL: Mandala painting,Trakya University,Eskisehir Osmangazi University,INTERVENTIONAL,"Eskişehir Osmangazi University, Eskişehir, Turkey (Türkiye)"
NCT07160049,Wearable Focused Ultrasound Stimulation for Peripheral Nerve Pain Management,https://clinicaltrials.gov/study/NCT07160049,ACTIVE_NOT_RECRUITING,Pain Management|Peripheral Neuropathic Pain,DEVICE: Cold Pressor Task - Upper Limb|DEVICE: Algometry Pain Tests in the Upper Limb|DEVICE: Algometry Pain Tests in the Lower Limb,University of Texas at Austin,,INTERVENTIONAL,"Biomedical Enginering Building - UT Austin, Austin, Texas, 78705, United States"
NCT07160036,Adaptive Optics (AO) Technology With Long-Term Repeated Low-Level Red Light Treatment,https://clinicaltrials.gov/study/NCT07160036,RECRUITING,Myopia,DEVICE: RLRL,Ruihua Wei,Tianjin Medical University Eye Hospital,INTERVENTIONAL,"Tianjin Medical University Eye Hospital, Tianjin, Tianjin Municipality, 120120, China"
NCT07160023,Local Registry of Primary Cutaneous T-cell Lymphomas,https://clinicaltrials.gov/study/NCT07160023,RECRUITING,Primary Cutaneous T-cell Lymphomas NCT Number,,Fondazione IRCCS Policlinico San Matteo di Pavia,,OBSERVATIONAL,"SC Dermatologia, Fondazione IRCCS Policlinico San Matteo, Pavia, Pavia, 27100, Italy"
NCT07160010,Clinical Validation of Sophia Genetics Assay,https://clinicaltrials.gov/study/NCT07160010,NOT_YET_RECRUITING,Ovarian Cancer|Breast Cancer|Lynch Syndrome|Intestinal Polyposis,DIAGNOSTIC_TEST: Sophia Herditary Cancer Solution,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,,OBSERVATIONAL,
NCT07159997,Accuracy of Rail Sign at Detection of PAS,https://clinicaltrials.gov/study/NCT07159997,NOT_YET_RECRUITING,Placenta Previa Complete Centralis,DIAGNOSTIC_TEST: Accuracy of rail sign by ultrasound st diagnosis placent previa,Sohag University,,INTERVENTIONAL,"Sohag faculty of medicine, Sohag, Egypt"
NCT07159984,"Training Given to Pregnant Women and Their Partners on Coping With Stress as a Couple, Couple Adjustment, Complaints and Quality of Life",https://clinicaltrials.gov/study/NCT07159984,COMPLETED,Pregnant Women|Coping With Stress as a Couple|Dyadic Adjustment|Complaints|Quality of Life|Education|Pregnancy,BEHAVIORAL: Education on Changes During Pregnancy,Trakya University,,INTERVENTIONAL,"Eskişehir Osmangazi University, Eskişehir, Turkey (Türkiye)"
NCT07159971,Family-Based Nutrition Intervention to Prevent Overweight and Obesity in School-Age Children.,https://clinicaltrials.gov/study/NCT07159971,ENROLLING_BY_INVITATION,Overweight and/or Obesity|Children - Malnutrition|Preventing Malnutrition,DEVICE: School B|OTHER: Control,Claudia Teresa Tovar Palacio,Fundación Gonzalo Río Arronte|Instituto Nacional de Medicina Genomica|University of Illinois at Urbana-Champaign|Universidad Nacional Autonoma de Mexico,INTERVENTIONAL,"""El globo"" and ""Servicios de Salud Lomas Altas"", México, Sonora, Mexico"
NCT07159958,"Simulation Supported Vulva Cancer and Vulva Self-Examination Training on Knowledge, Skills and Attitude Towards Clinical Practices",https://clinicaltrials.gov/study/NCT07159958,RECRUITING,Nurse's Role|Simulation Supported Education|Vulva Cancer|Vulva Self Examination|Attitude Towards Clinical Practices,OTHER: Simulation-Based Vulvar Cancer and Self-Vulvar Examination Training,Trakya University,,INTERVENTIONAL,"Eskişehir Osmangazi University, Eskişehir, Turkey (Türkiye)"
NCT07159945,Controlling Nutritional Status as a Superior Predictor of Fixation Failure in Intertrochanteric Fractures: Development and Validation of a Multicentre Nomogram,https://clinicaltrials.gov/study/NCT07159945,COMPLETED,Intertrochanteric Fractures|Internal Fixation Failure|CONUT Score|Nomogram Model|Nutritional Status,,First Affiliated Hospital of Fujian Medical University,,OBSERVATIONAL,"The First Affiliated Hospital of Fujian Medical University, Fuzhou, Fujian, 350005, China"
NCT07159932,Poland Integrated Medicines Management (PL-IMM) - Study Assessing the Provision of Complex Clinical Pharmacy Services to Hospitalized Patients,https://clinicaltrials.gov/study/NCT07159932,NOT_YET_RECRUITING,Acute Admitted Multimorbid Patients,BEHAVIORAL: multidisciplinary treatment,Wroclaw Medical University,,INTERVENTIONAL,"Regional Hospital in Wroclaw, Wroclaw, 51 124, Poland"
NCT07159919,Insect vs Animal Protein for Building Muscle,https://clinicaltrials.gov/study/NCT07159919,RECRUITING,Cricket Protein|Whey Protein,DIETARY_SUPPLEMENT: protein supplement|DIETARY_SUPPLEMENT: protein supplement,University of Surrey,Aberystwyth University,INTERVENTIONAL,"University of Surrey, Stag Hill Campus, Guildford, Surrey, GU2 7XH, United Kingdom"
NCT07159906,"Homoharringtonine, BCL-2 Inhibitor, Rituximab, and Prednisone in Relapsed/Refractory Diffuse Large B-Cell Lymphoma",https://clinicaltrials.gov/study/NCT07159906,NOT_YET_RECRUITING,Diffuse Large B-Cell Lymphoma|Relapsed Non-Hodgkin Lymphoma|Refractory Non-Hodgkin Lymphoma,DRUG: Homoharringtonine|DRUG: BCL-2 inhibitor|DRUG: CD20 Antibody|DRUG: Glucocorticoid (GC),First Affiliated Hospital of Zhejiang University,,INTERVENTIONAL,"Department of Hematology, The First Affiliated Hospital, School of Medicine, Zhejiang University, Hangzhou, Zhejiang, 310003, China"
NCT07159893,Inectolizumab With Steroid Optimization in Newly Treated NMOSD,https://clinicaltrials.gov/study/NCT07159893,NOT_YET_RECRUITING,"Neuromyelitis Optica|Autoimmune Diseases|Demyelinating Autoimmune Diseases, CNS",DRUG: Inebilizumab + Rapid Steroid Tapering group|DRUG: Inebilizumab + Standard Steroid Tapering group,First Affiliated Hospital of Wenzhou Medical University,,INTERVENTIONAL,
NCT07159880,LETROZOLE EXTENDED VS TRADITIONAL THERAPY FOR OVULATION INDUCTION IN WOMEN WITH PCOS: A RANDOMIZED CONTROLLED TRIAL,https://clinicaltrials.gov/study/NCT07159880,RECRUITING,PCOS (Polycystic Ovary Syndrome)|Infertility|Anovulation,DRUG: Letrozole (aromatase inhibitor),GABRIEL MONTEIRO PINHEIRO,,INTERVENTIONAL,"Health Complex Dr Wladimir Arruda, São Paulo, São Paulo, 04829-310, Brazil"
NCT07159867,Frequency of Hypermobility-Related Problems in Patients With Anorexia Nervosa,https://clinicaltrials.gov/study/NCT07159867,NOT_YET_RECRUITING,"Anorexia Nervosa, Atypical|Anorexia Nervosa",,Vastra Gotaland Region,,OBSERVATIONAL,"Queen Silvias Children´s Hospital, Gothenburg, Västra Götaland County, 416 50, Sweden"
NCT07159854,Telerehabilitation in Central and Peripheral Neurological Sequelae From Chemotherapy,https://clinicaltrials.gov/study/NCT07159854,NOT_YET_RECRUITING,Chemotherapy-induced Neurotoxicity,DEVICE: RICORDO-DTx system|DEVICE: HOMING system|DEVICE: Home-based training program,Fondazione Don Carlo Gnocchi Onlus,Astir S.r.l.,INTERVENTIONAL,"IRCCS Fondazione Don Carlo Gnocchi ONLUS, Milan, 20148, Italy"
NCT07159841,A Study in Pediatric Participants With Congenital Adrenal Hyperplasia (Balance-CAH),https://clinicaltrials.gov/study/NCT07159841,NOT_YET_RECRUITING,Congenital Adrenal Hyperplasia|Classic Congenital Adrenal Hyperplasia,DRUG: Atumelnant|DRUG: Placebo,Crinetics Pharmaceuticals Inc.,,INTERVENTIONAL,
NCT07159828,A Study to Assess AXN-2510 Treatment in Adult Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT07159828,NOT_YET_RECRUITING,"Solid Tumor, Adult",BIOLOGICAL: AXN-2510,Instil Bio,Axion Bio,INTERVENTIONAL,"New Experimental Therapeutics (NEXT) Oncology - Houston, Houston, Texas, 77054, United States|New Experimental Therapeutics of San Antonio - NEXT Oncology, San Antonio, Texas, 78229, United States|NEXT Virginia, Fairfax, Virginia, 22031, United States"
NCT07159815,REACT - Resistance Exercise After Cancer Treatment,https://clinicaltrials.gov/study/NCT07159815,RECRUITING,Cancer,OTHER: Digital follow-up|OTHER: On-site follow-up|BEHAVIORAL: Resistance exercise,Inland Norway University of Applied Sciences,Sykehuset Innlandet HF,INTERVENTIONAL,"Inland Norway University of Applied Sciences, Lillehammer, Norway"
NCT07159802,Papillary Reconstruction Using Three Different Modalities,https://clinicaltrials.gov/study/NCT07159802,RECRUITING,Papillary Reconstruction,PROCEDURE: Papillary reconstruction,Mansoura University,,INTERVENTIONAL,"Mansoura University, Al Mansurah, Dakahlia Governorate, 35516, Egypt"
NCT07159789,Repetitive Transcranial Magnetic Stimulation (rTMS) in MS Induced Spastic Paraparesis,https://clinicaltrials.gov/study/NCT07159789,RECRUITING,Multiple Sclerosis,DEVICE: Repetitive Transcranial Magnetic Stimulation,Clinique Neuro-Outaouais,University of Ottawa,INTERVENTIONAL,"Clinique Neuro-Outaouais, Gatineau, Quebec, J8Y1W2, Canada"
NCT07159776,Multiple Digital Biomarkers for Optimization of IBD Care,https://clinicaltrials.gov/study/NCT07159776,NOT_YET_RECRUITING,Crohn Disease (CD)|Ulcerative Colitis (UC)|Inflammatory Bowel Disease (IBD),"DEVICE: monitoring of wearable data, shopping data, biomarkers and patient reported outcomes",Imelda GI Clinical Research Center,Agentschap Innoveren & Ondernemen (VLAIO),OBSERVATIONAL,"Imelda General Hospital, Bonheiden, 2820, Belgium"
NCT07159763,A Study to Evaluate the Safety and Efficacy of CD388 for Prevention of Influenza,https://clinicaltrials.gov/study/NCT07159763,NOT_YET_RECRUITING,Influenza,COMBINATION_PRODUCT: CD388 Injection|COMBINATION_PRODUCT: Placebo,Cidara Therapeutics Inc.,,INTERVENTIONAL,"Pinnacle Research Group, LLC, Anniston, Alabama, 36207, United States|Stamford Therapeutics Consortium, Stamford, Connecticut, 06905, United States|Imagine Research - Palm Beach County, Boynton Beach, Florida, 33435, United States|South Florida Research Center, Inc., Miami, Florida, 33135, United States|Healthcare Clinical Data, Inc., North Miami, Florida, 33161, United States|Velocity Clinical Research - Omaha, Omaha, Nebraska, 68134, United States|Brooklyn Clinical Research, Brooklyn, New York, 11226, United States|West Clinical Research, Inc., Morehead City, North Carolina, 28557, United States|Velocity Clinical Research - Cleveland, Beachwood, Ohio, 44122, United States|Velocity Clinical Research - Springdale, Cincinnati, Ohio, 45246, United States|Altoona Center for Clinical Research, Duncansville, Pennsylvania, 16635, United States|DM Clinical Research, Philadelphia, Pennsylvania, 19107, United States|Tribe Clinical Research, LLC, Greenville, South Carolina, 29607, United States|Spartanburg Medical Research, Spartanburg, South Carolina, 29303, United States|Clinical Research Partners, LLC, Richmond, Virginia, 23226, United States"
NCT07159750,Real-world Prospective Study on the Use of Anti-CGRP Drugs in Migraine,https://clinicaltrials.gov/study/NCT07159750,RECRUITING,"Migraine|Episodic Migraine|Chronic Migraine, Headache",DRUG: CGRP antibody or gepant,Hospital Universitari Vall d'Hebron Research Institute,,OBSERVATIONAL,"University of Miami, Miller School of Medicine, Miami, Florida, 33136, United States|FLENI, Buenos Aires, Argentina|Pontificia Universidad Católica de Chile, Santiago, Chile|Neuromedica, Medellín, Colombia|Special Hospital for Orthopedics and Rehabilitation ""Martin Horvat"" Rovinj-Rovigno, Rovinj, Croatia|Charité Universitätsmedizin Berlin, Berlin, Germany|LMU University Hospital, München, Germany|University of L'Aquila, L’Aquila, Italy|University of Modena and Reggio Emilia, Modena, Italy|National Neurological Institute C. Mondino Foundation, Pavia, Italy|IRCCS San Raffaele, Roma, Italy|Universiti Putra Malaysia, Serdang, Selangor, Malaysia|Neuroclinic Norway, Lillestrøm, Norway|Wrocław Medical University, Wroclaw, Poland|Hospital Santa Maria Lisbon, Lisbon, Portugal|Germans Trias i Pujol Hospital, Badalona, Barcelona, Spain|Vall d'Hebron University Hospital, Barcelona, Barcelona, 08035, Spain|Hospital Universitari de Bellvitge, L'Hospitalet de Llobregat, Barcelona, Spain|Fundació Sanitària Mollet, Mollet del Vallès, Barcelona, Spain|Hospital de Viladecans, Viladecans, Barcelona, Spain|Hospital General Universitario de Albacete, Albacete, Spain|Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario Gregorio Marañón, Madrid, Spain|La Paz University Hospital, Madrid, Spain|Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain|Mersin University, Mersin, Turkey (Türkiye)"
NCT07159737,Comparison of HYBRID Versus Two-Stent Strategies in Unprotected True Left MAIN Bifurcation,https://clinicaltrials.gov/study/NCT07159737,NOT_YET_RECRUITING,Unprotected Left Main Coronary Artery Disease,PROCEDURE: Two-stent strategy|PROCEDURE: Hybrid Strategy,Hospital Sultanah Bahiyah,Clinical Research Malaysia,INTERVENTIONAL,
NCT07159724,"Turkish Version of the Usefulness, Satisfaction, and Ease of Use Questionnaire (USE): Reliability and Validity",https://clinicaltrials.gov/study/NCT07159724,NOT_YET_RECRUITING,Neck Pain|Low Back Pain|Biomedical Technology|Validation,"DEVICE: back up, mollii-suit, compex, tens",Hacettepe University,,OBSERVATIONAL,
NCT07159711,Evaluation of Seismocardiography(SCG) for Assessing Fitness and Predicting Outcomes in Oesophageal Cancer Surgery,https://clinicaltrials.gov/study/NCT07159711,NOT_YET_RECRUITING,Oesophageal Cancer|Oesophageal Adenocarcinoma|Prehabilitation|Oesophagectomy|Neoadjuvant Chemotherapy,DIAGNOSTIC_TEST: Seismofit,Guy's and St Thomas' NHS Foundation Trust,University Hospital Southampton NHS Foundation Trust|Royal Marsden NHS Foundation Trust|Royal Surrey County Hospital NHS Foundation Trust,OBSERVATIONAL,
NCT07159698,Clinical Profile of a Patient After MI and ACVA Based on Outpatient Register Data,https://clinicaltrials.gov/study/NCT07159698,ENROLLING_BY_INVITATION,Acute Cerebrovascular Accident|Myocardial Infarction (MI),,"State Institution ""Republican Scientific and Practical Center"" Cardiology, Belarus",Belarusian State Medical University,OBSERVATIONAL,"Republican Scientific and Practical Center of Cardiology, Minsk, 220036, Belarus"
NCT07159685,Sex-Based Differences of LA: Impact on AF Ablation.,https://clinicaltrials.gov/study/NCT07159685,NOT_YET_RECRUITING,Atrial Fibrillation (AF),PROCEDURE: Atrial fibrillation ablation,Centro Medico Teknon,,OBSERVATIONAL,"Teknon Medical center, Barcelona, 08022, Spain"
NCT07159672,"Cohort Study on Nutritional, Metabolic, and Volumetric Assessment After Pancreaticoduodenectomy",https://clinicaltrials.gov/study/NCT07159672,COMPLETED,Periampullary Neoplasms|Pancreatic Cancer|Pancreaticoduodenectomy,PROCEDURE: Pancreaticoduodenectomy,"Marco Aurélio Ribeiro, PhD",University of Sao Paulo,OBSERVATIONAL,"Ribeirão Preto Medical School University of São Paulo, Ribeirão Preto, São Paulo, 14.048-900, Brazil"
NCT07159659,Post-operative Medium Chain Triglyceride Diet May Reduce Hospital Stay Following Lung Resection,https://clinicaltrials.gov/study/NCT07159659,NOT_YET_RECRUITING,Thoracic Neoplasms,DIETARY_SUPPLEMENT: MCT Diet,Chinese University of Hong Kong,,INTERVENTIONAL,"Prince of Wales Hospital, Shatin, Hong Kong"
NCT07159646,Athletic Intervention After THoracic surgEry for luNg cAncer: a Pilot Study,https://clinicaltrials.gov/study/NCT07159646,NOT_YET_RECRUITING,Non-small Cell Lung Cancer (NSCLC),OTHER: exercise interventions,Fondazione IRCCS Policlinico San Matteo di Pavia,Università degli Studi di Pavia,INTERVENTIONAL,"Fondazione IRCCS Policlinico San Matteo di Pavia, Pavia, Pavia, 27100, Italy"
